SampID,MF,Area
200929_Poo_TruePooMortality_Full2,"Glycine betaine, 13C5, 15N",872534208
200929_Poo_TruePooMortality_Full3,"Glycine betaine, 13C5, 15N",842590848
200929_Poo_TruePooMortality_Full4,"Glycine betaine, 13C5, 15N",764083264
200929_Poo_TruePooMortality_Full5,"Glycine betaine, 13C5, 15N",667728192
200929_Poo_TruePooMortality_Full6,"Glycine betaine, 13C5, 15N",922201728
200929_Poo_TruePooMortality_Half1,"Glycine betaine, 13C5, 15N",558412032
200929_Poo_TruePooMortality_Half2,"Glycine betaine, 13C5, 15N",466416704
200929_Poo_TruePooMortality_Half3,"Glycine betaine, 13C5, 15N",433045408
200929_Poo_TruePooMortality_Half4,"Glycine betaine, 13C5, 15N",389439840
200929_Poo_TruePooMortality_Half5,"Glycine betaine, 13C5, 15N",363743712
200929_Poo_TruePooMortality_Half6,"Glycine betaine, 13C5, 15N",457310080
200929_Smp_A_1C_T0,"Glycine betaine, 13C5, 15N",828371072
200929_Smp_A_1C_T12,"Glycine betaine, 13C5, 15N",864892928
200929_Smp_A_1C_T18,"Glycine betaine, 13C5, 15N",951519232
200929_Smp_A_1C_T24,"Glycine betaine, 13C5, 15N",1046060544
200929_Smp_A_1C_T30,"Glycine betaine, 13C5, 15N",942414080
200929_Smp_A_1C_T36,"Glycine betaine, 13C5, 15N",916441280
200929_Smp_A_1C_T42,"Glycine betaine, 13C5, 15N",901645760
200929_Smp_A_1C_T48,"Glycine betaine, 13C5, 15N",877231808
200929_Smp_A_1C_T6,"Glycine betaine, 13C5, 15N",844101568
200929_Smp_A_3LV_T0,"Glycine betaine, 13C5, 15N",770658560
200929_Smp_A_3LV_T12,"Glycine betaine, 13C5, 15N",1091971968
200929_Smp_A_3LV_T24,"Glycine betaine, 13C5, 15N",1059124800
200929_Smp_A_3LV_T36,"Glycine betaine, 13C5, 15N",1077546368
200929_Smp_A_3LV_T48,"Glycine betaine, 13C5, 15N",864288704
200929_Smp_A_4LGV_T0,"Glycine betaine, 13C5, 15N",910086720
200929_Smp_A_4LGV_T12,"Glycine betaine, 13C5, 15N",998501312
