SampID,Vol.filt.mL,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,MF,FinalBMIS,FinalRSD,Area,Adjusted_Area,Name,RT,mz,MS2,fraction,Predicted_Adduct_Ion,SIRIUS_molecularFormula,SIRIUS_name
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2224,"DL-Proline, 2H7",0.10751238734488504,30070,30228.31972119902,Unknown,12.386,275.12473,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2231,"DL-Alanine, 2H3",0.08234718216145084,324558,290484.2626885049,Unknown,11.678,276.9884,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2235,Inj_vol,0.11511063477138152,2998142,2998142,Unknown,1.954,277.15601,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2268,"DL-Valine, 2H8",0.20793568848910715,0,0,Unknown,9.308,283.06879,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2270,"DL-Proline, 2H7",0.06745077609337544,16718,16806.020921150823,Unknown,2.193,283.19153,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2288,"Thymine, 2H4",0.07511320423241495,104057,91012.41931400944,Unknown,1.814,285.23425,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2302,"DL-Histidine, 15N",0.08800314566665035,525517,449874.39371249656,Unknown,10.458,288.12027,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2311,"DL-Valine, 2H8",0.25996043558599985,3215380,2467851.083580008,Unknown,10.612,289.0538,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2379,"DL-Histidine, 15N",0.19760934612196832,160927,137763.26276213885,Unknown,1.86,300.22278,FALSE,HILIC_Neg,NA,NA,NA
A_1C_T0,50,T0,0,A,C,1,16700000,729000,231000,498000,0,0,HNeg_2392,"Sucrose, 13C",0.08213457014081096,634770,603240.9571618182,Unknown,1.861,301.22916,FALSE,HILIC_Neg,NA,NA,NA
