Compound,SampID,Area,slope,Conc_nM_vial,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL,nM.in.smp
CN-Pseudocob,A_8G_T48,8301,1565787.8697218557,0.005301484422327641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN-Pseudocob,A_9V_T0,475,1565787.8697218557,3.03361655295221e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN-Pseudocob,B_1C_T0,264070,1565787.8697218557,0.16864992066065054,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50,0.0013491993652852046
CN-Pseudocob,B_1C_T12,314063,1565787.8697218557,0.20057825588838524,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50,0.0016046260471070822
CN-Pseudocob,B_1C_T18,110691,1565787.8697218557,0.07069348418164907,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50,5.655478734531926e-4
CN-Pseudocob,B_1C_T24,572070,1565787.8697218557,0.3653560045152359,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100,0.0014614240180609438
CN-Pseudocob,B_1C_T30,447510,1565787.8697218557,0.28580499865508285,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50,0.002286439989240663
CN-Pseudocob,B_1C_T36,911396,1565787.8697218557,0.5820686298725121,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300,7.760915064966828e-4
CN-Pseudocob,B_1C_T42,79547,1565787.8697218557,0.05080317809214514,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50,4.0642542473716116e-4
CN-Pseudocob,B_1C_T48,1248962,1565787.8697218557,0.7976572204649048,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100,0.0031906288818596197
CN-Pseudocob,B_1C_T6,76255,1565787.8697218557,0.04870072215692016,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50,3.896057772553613e-4
CN-Pseudocob,B_3LV_T0,278982,1565787.8697218557,0.17817356066857126,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50,0.00142538848534857
CN-Pseudocob,B_3LV_T12,82291,1565787.8697218557,0.05255565047557691,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50,4.2044520380461525e-4
CN-Pseudocob,B_3LV_T24,685250,1565787.8697218557,0.437639103770632,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100,0.001750556415082528
CN-Pseudocob,B_3LV_T36,1809745,1565787.8697218557,1.15580471339421,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300,0.00154107295119228
CN-Pseudocob,B_3LV_T48,160441,1565787.8697218557,0.1024666259730959,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100,4.098665038923836e-4
CN-Pseudocob,B_4LGV_T0,122573,1565787.8697218557,0.07828199615684447,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50,6.262559692547558e-4
CN-Pseudocob,B_4LGV_T12,70441,1565787.8697218557,0.04498757549610666,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50,3.5990060396885325e-4
CN-Pseudocob,B_4LGV_T24,35,1565787.8697218557,2.2352964074384705e-5,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100,8.941185629753881e-8
CN-Pseudocob,B_4LGV_T36,87333,1565787.8697218557,0.055775754614521125,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300,7.43676728193615e-5
CN-Pseudocob,B_4LGV_T48,89754,1565787.8697218557,0.05732194107235214,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300,7.642925476313619e-5
CN-Pseudocob,B_6HV_T0,51105,1565787.8697218557,0.032638520829183726,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50,2.6110816663346985e-4
CN-Pseudocob,B_6HV_T12,144974,1565787.8697218557,0.09258853182056709,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50,7.407082545645368e-4
CN-Pseudocob,B_6HV_T24,124399,1565787.8697218557,0.07944818222541095,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100,3.177927289016438e-4
CN-Pseudocob,B_6HV_T36,70894,1565787.8697218557,0.04527688671684084,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270,6.707686921013457e-5
CN-Pseudocob,B_6HV_T48,40128,1565787.8697218557,0.02562799263934027,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100,1.0251197055736109e-4
CN-Pseudocob,C_1C_T0,222825,1565787.8697218557,0.1423085491392792,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50,0.0011384683931142338
CN-Pseudocob,C_1C_T12,257878,1565787.8697218557,0.1646953619878337,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50,0.0013175628959026695
CN-Pseudocob,C_1C_T18,376365,1565787.8697218557,0.24036780925302284,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50,0.001922942474024183
CN-Pseudocob,C_1C_T24,964722,1565787.8697218557,0.6161256059362447,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100,0.0024645024237449787
CN-Pseudocob,C_1C_T30,423802,1565787.8697218557,0.27066373944721106,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50,0.0021653099155776886
CN-Pseudocob,C_1C_T36,502347,1565787.8697218557,0.32082698411071237,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100,0.0012833079364428495
CN-Pseudocob,C_1C_T42,169602,1565787.8697218557,0.10831735465553699,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50,8.66538837244296e-4
CN-Pseudocob,C_1C_T48,869310,1565787.8697218557,0.555190148557239,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100,0.0022207605942289564
CN-Pseudocob,C_1C_T6,133013,1565787.8697218557,0.08494956601217522,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50,6.795965280974019e-4
