Time,Treatment,Rep,Pro.count,BacSml.count,BacLrg.count,BacTot.count,Phage.abun,Pro.C,BacSml.C,BacLrg.C,BacTot.C,TotMicrobial.C,Pro.C.Fraction
24,HV,B,11000000,325000,1980000,2300000,271000000,344259421.63834035,4647289.502774217,48407511.21692901,53054800.71970323,397314222.3580435,0.8664663942689362
24,HV,C,8120000,773000,3880000,4650000,287000000,231171338.73432595,10966457.326691782,88880770.44362989,99847227.77032168,331018566.5046476,0.6983636633296828
26,C,A,29200000,NA,NA,NA,NA,858525486.7406555,NA,NA,NA,NA,NA
26,C,B,29400000,NA,NA,NA,NA,912151893.4826244,NA,NA,NA,NA,NA
26,C,C,26200000,NA,NA,NA,NA,775892353.9136769,NA,NA,NA,NA,NA
26,LV,A,26000000,NA,NA,NA,NA,738915944.6132013,NA,NA,NA,NA,NA
26,LV,B,28300000,NA,NA,NA,NA,861389094.1921594,NA,NA,NA,NA,NA
26,LV,C,29800000,NA,NA,NA,NA,849861827.9624295,NA,NA,NA,NA,NA
26,HV,A,11300000,NA,NA,NA,NA,308971107.88893163,NA,NA,NA,NA,NA
26,HV,B,8220000,NA,NA,NA,NA,250075884.93573976,NA,NA,NA,NA,NA
26,HV,C,5080000,NA,NA,NA,NA,143194833.87957016,NA,NA,NA,NA,NA
28,C,A,29400000,NA,NA,NA,NA,937594133.3434856,NA,NA,NA,NA,NA
28,C,B,28400000,NA,NA,NA,NA,940412949.0399724,NA,NA,NA,NA,NA
28,C,C,31300000,NA,NA,NA,NA,891790168.1043234,NA,NA,NA,NA,NA
28,LV,A,27800000,NA,NA,NA,NA,844891487.8732504,NA,NA,NA,NA,NA
28,LV,B,26100000,NA,NA,NA,NA,843500926.3458111,NA,NA,NA,NA,NA
28,LV,C,29800000,NA,NA,NA,NA,918259569.102828,NA,NA,NA,NA,NA
28,HV,A,9370000,NA,NA,NA,NA,243533934.50150543,NA,NA,NA,NA,NA
28,HV,B,7510000,NA,NA,NA,NA,213214823.7739862,NA,NA,NA,NA,NA
28,HV,C,3890000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,C,A,29200000,546000,994000,1540000,0,1009674761.8219408,6145307.711882609,22156161.123224735,28301468.835107345,1037976230.6570482,0.9727339913967084
30,C,B,29500000,953000,1550000,2510000,0,1058392158.6124856,11194467.382286832,35267662.39321007,46462129.7754969,1104854288.3879826,0.9579472784204996
30,C,C,30700000,877000,1100000,1980000,0,955117487.1684884,9776304.093728112,24586830.156936757,34363134.25066487,989480621.4191532,0.9652715439728574
30,LV,A,25300000,661000,1260000,1920000,6440000,918328703.0334976,7509850.437240538,28465307.53934517,35975157.97658571,954303861.0100832,0.9623021980247384
30,LV,B,29600000,862000,1580000,2440000,7400000,1028259663.7813886,10460537.825534131,37456943.27274938,47917481.098283514,1076177144.879672,0.9554743553825972
30,LV,C,27200000,998000,1280000,2270000,15600000,908410682.5532264,11282277.55236786,29503069.405144285,40785346.95751214,949196029.5107386,0.9570316924118036
30,HV,A,5930000,420000,2840000,3260000,303000000,146345653.02439243,6155853.525702905,68143082.11768562,74298935.64338852,220644588.66778097,0.6632641838533436
30,HV,B,4550000,237000,3280000,3520000,333000000,123071098.74588344,3452783.1699240003,84494562.1522147,87947345.32213871,211018444.06802216,0.5832243683220945
30,HV,C,2280000,2050000,4470000,6510000,291000000,NA,NA,NA,NA,NA,NA
32,C,A,30300000,NA,NA,NA,NA,1107791540.4363482,NA,NA,NA,NA,NA
32,C,B,30700000,NA,NA,NA,NA,1163094255.741538,NA,NA,NA,NA,NA
32,C,C,27300000,NA,NA,NA,NA,992093066.5047544,NA,NA,NA,NA,NA
32,LV,A,29600000,NA,NA,NA,NA,1014130168.62451,NA,NA,NA,NA,NA
32,LV,B,28700000,NA,NA,NA,NA,1053902028.4561336,NA,NA,NA,NA,NA
32,LV,C,25700000,NA,NA,NA,NA,888477820.5171627,NA,NA,NA,NA,NA
32,HV,A,4440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,HV,B,3180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,HV,C,1940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,C,A,30600000,NA,NA,NA,NA,1136257633.768334,NA,NA,NA,NA,NA
34,C,B,29100000,NA,NA,NA,NA,1124000489.4480774,NA,NA,NA,NA,NA
34,C,C,27000000,NA,NA,NA,NA,1030259333.7954586,NA,NA,NA,NA,NA
34,LV,A,28200000,NA,NA,NA,NA,1004665277.4345796,NA,NA,NA,NA,NA
34,LV,B,27800000,NA,NA,NA,NA,1039537933.3668904,NA,NA,NA,NA,NA
34,LV,C,26000000,NA,NA,NA,NA,936521707.7175646,NA,NA,NA,NA,NA
34,HV,A,2270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,HV,B,2030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,HV,C,1660000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,C,A,27700000,701000,1260000,1960000,0,995424140.8849462,8401541.228908114,28076296.10478262,36477837.33369073,1031901978.218637,0.9646499007622196
36,C,B,31000000,1010000,2460000,3480000,0,1163641548.5171642,12407896.418776007,57832930.17680705,70240826.59558307,1233882375.1127472,0.94307332042962
36,C,C,26300000,1020000,1320000,2330000,0,971812404.5214078,11724293.518898215,29076889.474587373,40801182.99348559,1012613587.5148934,0.9597070555870992
36,LV,A,24200000,589000,1680000,2270000,31500000,854281359.0091181,8087682.251480217,38946626.78329756,47034309.034777775,901315668.0438958,0.9478159420696024
36,LV,B,24100000,609000,3410000,4020000,38100000,869949663.347746,8468236.598677889,83367102.69733219,91835339.29601008,961785002.6437562,0.9045157295616244
36,LV,C,23300000,810000,2300000,3110000,103000000,824020846.7429335,11170073.16168036,51952691.69221492,63122764.85389528,887143611.5968288,0.928847185473977
36,HV,A,1480000,1010000,4870000,5880000,204000000,NA,NA,NA,NA,NA,NA
36,HV,B,943000,1210000,6160000,7370000,270000000,NA,NA,NA,NA,NA,NA
36,HV,C,1230000,4510000,3380000,7890000,180000000,NA,NA,NA,NA,NA,NA
38,C,A,32100000,NA,NA,NA,NA,1062682063.0700252,NA,NA,NA,NA,NA
38,C,B,30900000,NA,NA,NA,NA,1100639907.0526152,NA,NA,NA,NA,NA
38,C,C,29900000,NA,NA,NA,NA,1081396039.875813,NA,NA,NA,NA,NA
38,LV,A,23700000,NA,NA,NA,NA,812504027.0233341,NA,NA,NA,NA,NA
38,LV,B,22900000,NA,NA,NA,NA,781703536.0366994,NA,NA,NA,NA,NA
38,LV,C,22700000,NA,NA,NA,NA,794307142.1762881,NA,NA,NA,NA,NA
