rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
78	C16H23N5O8	[M + H]+	C16H23N5O8	62.80919813271944	62.01118531574906	0.7980128169703762	27	0.8742902506682051	1.8856338862414215	1.8856338862414215	1.7373447380338485		414.16266	60.185	78_201006_Poo_TruePooMortality_DDApos_78
79	C4H8N3O3	[M + Na]+	C4H8N3O3	62.73489041221269	62.73489041221269	0.0	10	0.7763415137622376	4.241016884613614	4.241016884613614	0.7956985416301876		169.04592	44.839	24_201006_Poo_TruePooMortality_DDApos_24
80	C5H13N4O3S	[M + Na]+	C5H13N4O3S	62.54751818159471	61.86204614873751	0.685472032857197	19	0.4516295478113327	3.2946410666117374	3.2946410666117374	3.097381464158425		232.06078	51.028	42_201006_Poo_TruePooMortality_DDApos_42
81	C13H25N3O4	[M + H]+	C13H25N3O4	62.424797401241186	59.44045277655582	2.9843446246853627	10	0.7994856762901628	2.953645730865654	2.953645730865654	1.5527570555802959		288.19223	126.369	179_201006_Poo_TruePooMortality_DDApos_179
82	C9H11N4	[M + H]+	C9H11N4	62.36431926314298	59.01099532789851	3.3533239352444677	29	0.9369329347416774	5.726647574204382	5.726647574204382	1.4093338659835803		176.10590	1078.375	308_201006_Poo_TruePooMortality_DDApos_308
83	C9H17N5O	[M + H]+	C9H17N5O	62.146871869697634	59.5586576868052	2.5882141828924334	13	0.4732569788697343	6.2060917508908675	6.2060917508908675	-5.215342362761697		212.14948	65.957	91_201006_Poo_TruePooMortality_DDApos_91
84	C18H38O10	[M + H]+	C18H38O10	60.92549670277542	57.50640040530065	3.4190962974747667	11	0.8932174918285601	1.5424657298405102	1.5424657298405102	1.9356044977918938		415.25458	233.301	211_201006_Poo_TruePooMortality_DDApos_211
85	C16H25N5O8	[M + H]+	C16H25N5O8	60.73633008152984	55.23376292944571	5.50256715208413	13	0.9933249062763823	1.3117224708006079	1.3117224708006079	1.4731648702228972		416.17820	60.185	72_201006_Poo_TruePooMortality_DDApos_72
86	C30H58O5S	[M + H]+	C30H58O5S	60.66395436368755	55.95069435103667	4.713260012650883	29	0.9411640085871884	5.9330910486023045	5.9330910486023045	2.3802080057744694		531.40904	836.168	279_201006_Poo_TruePooMortality_DDApos_279
87	C17H40N3O8P	[M + H]+	C17H40N3O8P	60.54912114287603	57.35690781625732	3.192213326618713	12	0.7535736273673381	2.6996343667816616	2.6996343667816616	-4.046102913114997		446.26077	236.33	216_201006_Poo_TruePooMortality_DDApos_216
88	C16H29N5O7	[M + H]+	C16H29N5O7	60.47412982243834	54.662379340991905	5.811750481446442	21	0.7664472168489471	4.55259035358981	4.55259035358981	1.772429440289543		404.21469	74.143	121_201006_Poo_TruePooMortality_DDApos_121
89	C14H19N3O4	[M + H]+	C14H19N3O4	60.24194148130946	57.23294745646345	3.008994024846012	17	0.9027399787256474	1.5815967569011493	1.5815967569011493	1.3965438562130164		294.14524	101.795	158_201006_Poo_TruePooMortality_DDApos_158
90	C10H23NO7	[M + H]+	C10H23NO7	60.22542972208268	56.94785118987234	3.2775785322103426	15	0.8181062079482857	2.883465314453482	2.883465314453482	1.3392453212322997		270.15509	82.692	140_201006_Poo_TruePooMortality_DDApos_140
91	C10H20N2O4	[M + H]+	C10H20N2O4	60.195603359387675	56.99995913021932	3.1956442291683573	17	0.9248333508659639	7.999790715960665	7.999790715960665	1.4654083320812916		233.14993	68.321	104_201006_Poo_TruePooMortality_DDApos_104
