Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
B12,230511_Smp_B_1C_T48,Me-B12,7.28,633,222,564,#N/A,B12
B12,230511_Smp_B_1C_T6,Me-B12,7.3,433,13,368,#N/A,B12
B12,230511_Smp_B_3LV_T0,Me-B12,7.33,427,46,434,#N/A,B12
B12,230511_Smp_B_3LV_T12,Me-B12,7.3,332,18,319,#N/A,B12
B12,230511_Smp_B_3LV_T24,Me-B12,7.29,386,1,314,#N/A,B12
B12,230511_Smp_B_3LV_T36,Me-B12,7.31,2018,1133,1316,#N/A,B12
B12,230511_Smp_B_3LV_T48,Me-B12,7.3,1384,105,893,#N/A,B12
B12,230511_Smp_B_4LGV_T0,Me-B12,7.32,401,7,460,#N/A,B12
B12,230511_Smp_B_4LGV_T12,Me-B12,7.32,58,7,46,#N/A,B12
B12,230511_Smp_B_4LGV_T24,Me-B12,7.29,12,0,10,#N/A,B12
B12,230511_Smp_B_4LGV_T36,Me-B12,7.29,456,66,365,#N/A,B12
B12,230511_Smp_B_4LGV_T48,Me-B12,7.31,1946,919,1330,#N/A,B12
B12,230511_Smp_B_6HV_T0,Me-B12,7.3,44,15,73,#N/A,B12
B12,230511_Smp_B_6HV_T12,Me-B12,7.35,301,29,270,#N/A,B12
B12,230511_Smp_B_6HV_T24,Me-B12,7.31,227,20,311,#N/A,B12
B12,230511_Smp_B_6HV_T36,Me-B12,7.3,70,11,94,#N/A,B12
B12,230511_Smp_B_6HV_T48,Me-B12,7.31,410,17,285,#N/A,B12
B12,230511_Smp_C_1C_T0,Me-B12,7.27,254,3,435,#N/A,B12
B12,230511_Smp_C_1C_T12,Me-B12,7.35,1085,18,832,#N/A,B12
B12,230511_Smp_C_1C_T18,Me-B12,7.29,141,13,348,#N/A,B12
B12,230511_Smp_C_1C_T24,Me-B12,7.3,1174,29,635,#N/A,B12
B12,230511_Smp_C_1C_T30,Me-B12,7.31,1269,88,943,#N/A,B12
B12,230511_Smp_C_1C_T36,Me-B12,7.3,938,26,633,#N/A,B12
B12,230511_Smp_C_1C_T42,Me-B12,7.31,284,25,355,#N/A,B12
B12,230511_Smp_C_1C_T48,Me-B12,7.32,602,1638,910,#N/A,B12
B12,230511_Smp_C_1C_T6,Me-B12,7.29,435,0,645,#N/A,B12
B12,230511_Smp_C_3LV_T0,Me-B12,7.29,1,16,6,#N/A,B12
B12,230511_Smp_C_3LV_T12,Me-B12,7.28,1501,30,1016,#N/A,B12
B12,230511_Smp_C_3LV_T24,Me-B12,7.34,57,351,83,#N/A,B12
B12,230511_Smp_C_3LV_T36,Me-B12,7.31,221,11,316,#N/A,B12
B12,230511_Smp_C_3LV_T48,Me-B12,7.27,3569,57,1789,#N/A,B12
B12,230511_Smp_C_4LGV_T0,Me-B12,7.29,190,0,313,#N/A,B12
B12,230511_Smp_C_4LGV_T12,Me-B12,7.29,423,64,514,#N/A,B12
B12,230511_Smp_C_4LGV_T24,Me-B12,7.33,585,58,302,#N/A,B12
B12,230511_Smp_C_4LGV_T36,Me-B12,7.29,1071,123,995,#N/A,B12
B12,230511_Smp_C_4LGV_T48,Me-B12,7.29,402,162,372,#N/A,B12
B12,230511_Smp_C_6HV_T0,Me-B12,7.27,94,6,104,#N/A,B12
B12,230511_Smp_C_6HV_T12,Me-B12,7.3,742,0,707,#N/A,B12
B12,230511_Smp_C_6HV_T24,Me-B12,7.37,214,9,218,#N/A,B12
B12,230511_Smp_C_6HV_T36,Me-B12,7.32,270,4,221,#N/A,B12
B12,230511_Smp_C_6HV_T48,Me-B12,7.29,83,64,138,#N/A,B12
B12,230511_Smp_E_2LG_T0,Me-B12,7.27,99,41,80,#N/A,B12
B12,230511_Smp_E_2LG_T24,Me-B12,7.29,44,12,90,#N/A,B12
B12,230511_Smp_E_2LG_T36,Me-B12,7.3,477,27,593,#N/A,B12
B12,230511_Smp_E_2LG_T48,Me-B12,7.32,1666,28,992,#N/A,B12
B12,230511_Smp_E_3LG_T0,Me-B12,7.27,711,0,441,#N/A,B12
B12,230511_Smp_E_3LG_T24,Me-B12,7.3,476,1,801,#N/A,B12
B12,230511_Smp_E_3LG_T36,Me-B12,7.3,280,0,252,#N/A,B12
B12,230511_Smp_E_3LG_T48,Me-B12,7.27,1827,414,1246,#N/A,B12
