rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
51	C10H17N5O4	[M + H]+	C10H17N5O4	53.90361094490132	51.939592393205864	1.9640185516954547	9	0.4971802446094467	5.5757043998225075	5.5757043998225075	-4.991321410404052		272.13397	637.671	142_200929_Poo_TruePooMortality_DDApos_142
52	C6H10N2O3	[M + H]+	C6H10N2O3	53.41105169317911	52.61992515052109	0.7911265426580201	15	0.9957569953882959	5.5839195922837375	5.5839195922837375	-0.33618504970632546		159.07637	692.558	164_200929_Poo_TruePooMortality_DDApos_164
53	C10H20N2O3	[M + H]+	C10H20N2O3	52.56036537263722	49.39929299693726	3.16107237569996	9	0.9258076695512922	2.3503838821268923	2.3503838821268923	0.5116990582962404		217.15478	132.682	13_200929_Poo_TruePooMortality_DDApos_13
54	C8H18O5	[M + H]+	C8H18O5	52.199745905354725	48.92075511991233	3.278990785442395	6	0.9090233604800194	1.4445468826129506	1.4445468826129506	-0.1779537861714153		195.12267	164.25	30_200929_Poo_TruePooMortality_DDApos_30
55	C12H24N2O3	[M + H]+	C12H24N2O3	52.139595640689826	46.668518095817774	5.471077544872053	7	0.8173584734560269	-0.05234391976027531	0.5805320087805644	0.04130442658937482		245.18598	116.709	7_200929_Poo_TruePooMortality_DDApos_7
56	C16H25N5O8	[M + H]+	C16H25N5O8	51.96201921157642	48.73240716131294	3.2296120502634738	9	0.7170762496815909	-1.0339995178226449	1.0339995178226449	-0.3844823398907675		416.17743	617.04	133_200929_Poo_TruePooMortality_DDApos_133
57	C7H10N2O3	[M + H]+	C7H10N2O3	50.94739614972236	47.974393105645454	2.9730030440769046	10	0.7657243164354588	7.142691746316356	7.142691746316356	-0.16394886814685364		171.07639	657.241	156_200929_Poo_TruePooMortality_DDApos_156
58	C9H17N5O	[M + H]+	C9H17N5O	49.493937340357554	47.96719084262303	1.5267464977345226	10	0.7582440078727246	6.719803171408854	6.719803171408854	-6.498007960594188		212.14921	164.25	31_200929_Poo_TruePooMortality_DDApos_31
59	C10H15NO2S	[M + H]+	C10H15NO2S	49.270192316511654	46.4523324687304	2.817859847781257	11	0.8747939765928492	8.090024460409898	8.090024460409898	-0.9080756281137177		214.08943	3.615	1_200929_Poo_TruePooMortality_DDApos_1
60	C13H17N3O4	[M + H]+	C13H17N3O4	48.74706769220923	45.42201846882226	3.3250492233869666	15	0.8142949006360762	1.191237186210117	1.191237186210117	0.6480490968162218		280.12936	167.455	45_200929_Poo_TruePooMortality_DDApos_45
