GENE.NAME,KEGG,PathwayID,Pathway_info,Details
carB,K01955,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
carA,K01956,9104,Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240]
carA,K01956,9105,Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"
accC,K01961,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
accC,K01961,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
accC,K01961,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
accC,K01961,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
accA,K01962,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
accA,K01962,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
accA,K01962,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
accA,K01962,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
accD,K01963,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
accD,K01963,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
accD,K01963,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
accD,K01963,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
PMM0659,K01972,9124,Replication and repair,03430 Mismatch repair [PATH:ko03430]
PMM0659,K01972,9124,Replication and repair,03400 DNA repair and recombination proteins [BR:ko03400]
PMM0659,K01972,9124,Replication and repair,03420 Nucleotide excision repair [PATH:ko03420]
PMM0659,K01972,9124,Replication and repair,03032 DNA replication proteins [BR:ko03032]
PMM0659,K01972,9124,Replication and repair,03410 Base excision repair [PATH:ko03410]
PMM0659,K01972,9124,Replication and repair,03030 DNA replication [PATH:ko03030]
ccmA,K01990,9131,Membrane transport,02000 Transporters [BR:ko02000]
PMM0976,K01990,9131,Membrane transport,02000 Transporters [BR:ko02000]
cds-WP_052039325.1,K01991,9145,Cellular community - prokaryotes,02026 Biofilm formation - Escherichia coli [PATH:ko02026]
wza,K01991,9145,Cellular community - prokaryotes,02026 Biofilm formation - Escherichia coli [PATH:ko02026]
cds-WP_052039325.1,K01991,9131,Membrane transport,02000 Transporters [BR:ko02000]
wza,K01991,9131,Membrane transport,02000 Transporters [BR:ko02000]
PMM0977,K01992,9131,Membrane transport,02000 Transporters [BR:ko02000]
ycf38,K01992,9131,Membrane transport,02000 Transporters [BR:ko02000]
PMM0978,K01992,9131,Membrane transport,02000 Transporters [BR:ko02000]
lolD,K02003,9131,Membrane transport,02000 Transporters [BR:ko02000]
PMM0750,K02003,9131,Membrane transport,02000 Transporters [BR:ko02000]
salY,K02004,9131,Membrane transport,02000 Transporters [BR:ko02000]
devC,K02004,9131,Membrane transport,02000 Transporters [BR:ko02000]
cds-WP_225866775.1,K02005,9193,Cellular processes and signaling,99992 Membrane and intracellular structural molecules
acrA,K02005,9193,Cellular processes and signaling,99992 Membrane and intracellular structural molecules
potA,K02010,9131,Membrane transport,02000 Transporters [BR:ko02000]
potA,K02010,9131,Membrane transport,02010 ABC transporters [PATH:ko02010]
thiP,K02011,9131,Membrane transport,02010 ABC transporters [PATH:ko02010]
thiP,K02011,9131,Membrane transport,02000 Transporters [BR:ko02000]
afuA,K02012,9131,Membrane transport,02010 ABC transporters [PATH:ko02010]
afuA,K02012,9131,Membrane transport,02000 Transporters [BR:ko02000]
modF,K02013,9131,Membrane transport,02000 Transporters [BR:ko02000]
modF,K02013,9131,Membrane transport,02010 ABC transporters [PATH:ko02010]
mcyH,K02021,9131,Membrane transport,02000 Transporters [BR:ko02000]
PMM0192,K02031,9131,Membrane transport,02000 Transporters [BR:ko02000]
PMM0192,K02031,9145,Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024]
PMM0192,K02032,9131,Membrane transport,02000 Transporters [BR:ko02000]
PMM0192,K02032,9145,Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024]
dppB,K02033,9145,Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024]
dppB,K02033,9131,Membrane transport,02000 Transporters [BR:ko02000]
dppC,K02034,9145,Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024]
dppC,K02034,9131,Membrane transport,02000 Transporters [BR:ko02000]
ddpA,K02035,9131,Membrane transport,02000 Transporters [BR:ko02000]
ddpA,K02035,9145,Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024]
pstB,K02036,9131,Membrane transport,02010 ABC transporters [PATH:ko02010]
