GENE.NAME,CTRL0_A,CTRL0_B,CTRL0_C,TRT0_A,TRT0_B,TRT0_C,CTRL12_A,CTRL12_B,CTRL12_C,TRT12_A,TRT12_B,TRT12_C,TRT24_A,TRT24_B,TRT24_C,CTRL24_A,CTRL24_B,CTRL36_A,CTRL36_B,CTRL36_C,TRT36_A,TRT36_B,TRT36_C
PMM0265,22224,29942,20446,14826,18185,21521,14059,9480,11299,2442,6250,2979,340,292,135,29059,32264,16189,10898,19278,91,178,108
purH,4189,5704,4588,3775,3413,5812,12808,10849,9699,3520,8035,3420,388,370,186,6444,4637,10030,9382,11750,148,180,130
PMM0267,1378,1398,1604,1218,958,2460,1408,983,974,363,1445,613,108,96,29,2790,2312,1320,671,1398,15,11,20
PMM0268,44426,38405,36818,44045,27550,53885,30804,29454,29795,10769,14138,5009,350,320,258,40803,54651,32078,18937,31949,244,339,155
hik01,1544,2580,1780,1307,1361,2325,6751,4899,3420,1121,2782,1121,69,68,42,3612,1653,3934,2177,5228,38,83,39
CobS,1182,1415,1169,822,822,1693,1732,1494,1361,318,1023,479,34,27,15,1478,1044,1392,577,1915,18,30,17
tgt,582,819,829,589,498,1125,2346,1575,1516,387,988,540,41,47,25,1406,1079,1690,977,2219,23,38,17
psbK,10287,10072,11659,6270,9339,15308,4951,4380,5816,1419,2688,1295,131,90,62,15658,18837,8649,6026,8550,63,89,27
mviM_a,1573,1669,2117,1227,1406,3598,2814,2183,2349,540,1588,648,70,68,44,3469,3076,2140,1237,2549,52,45,32
PMM0274,1299,1730,1559,1079,1301,2677,2535,2456,2736,612,1570,652,38,25,18,2513,2826,2556,1607,2768,27,60,30
pyrE,389,462,393,259,446,752,2012,1166,1438,551,1125,645,48,23,16,730,866,1380,875,1809,13,29,20
cds-WP_011131913.1,473,662,527,394,544,1036,1524,1213,1110,281,987,384,25,14,11,965,725,987,885,1302,13,29,10
PMM0278,1162,1190,1426,1096,821,2325,3655,2361,2209,705,1836,851,48,47,29,2561,1968,2642,1489,3562,23,36,39
rdgB,327,459,599,327,340,809,3162,1556,1396,675,1229,772,43,48,35,1108,706,1293,844,1995,16,46,20
hisB,6828,5492,7443,5355,4635,11909,5250,5218,5421,1449,3428,1136,168,81,48,11058,16813,6619,4639,7236,50,72,33
fabI,16818,13511,16606,11261,9844,23009,10128,8723,9446,2350,4442,1551,186,174,114,27242,37508,12160,8217,14343,61,147,77
trxA_1,2212,2802,2005,1748,1149,2217,805,659,466,167,707,386,37,27,13,3639,2068,786,453,1140,6,14,11
degT,1969,2598,2258,1766,1674,3226,2704,1824,1349,469,1964,914,136,131,43,3363,2015,1519,737,2363,25,48,28
phrB,4183,4639,2286,2792,2820,3574,1303,902,866,252,1026,543,82,35,29,1619,1917,857,656,1225,18,15,16
mutT,3096,4449,1900,2365,2481,2374,921,639,496,172,621,307,48,33,18,1387,1320,683,616,1014,15,17,17
folK,971,1504,1086,823,852,1296,1179,647,539,161,718,342,57,43,22,1324,797,631,366,958,23,18,26
chlD,4986,4459,6552,4436,4135,9974,4907,3556,4533,1472,3578,1750,180,127,92,8498,10556,5052,3914,5611,83,97,74
ycf22,3281,3809,3211,2276,2579,4762,9454,7288,7983,1889,3934,1502,73,81,55,5731,5873,9458,6490,10726,73,113,61
ndhJ,7580,9270,5183,6162,5858,7295,9714,8651,9725,2526,6611,2861,223,175,98,5218,5558,8992,5562,10299,77,126,64
ndhC,13553,15761,8732,8068,7487,9077,16398,12990,13609,4066,6596,3372,221,159,122,9041,8121,14044,8029,16428,102,195,94
rub,16358,20749,9468,10564,11237,11627,3209,2344,2556,525,1787,853,120,106,61,8222,9146,3671,1989,4647,41,59,33
ycf48,19159,26639,17137,16496,14405,18641,7442,4671,5307,1672,3516,1931,327,317,124,19292,18250,8213,4373,10919,84,100,77
psbF,121382,160296,123204,76924,141914,140640,60368,62263,86802,15500,29644,12931,1029,742,522,137277,180259,118860,88669,109098,532,915,386
psbL,89490,118228,96463,57810,102634,106535,50255,48088,65889,12932,23196,10464,842,539,387,100684,130074,86370,61947,85034,441,714,300
psbJ,84024,117478,97736,57533,96846,103064,53644,49809,67828,13582,24234,11993,861,600,393,102626,133644,90917,61009,92237,462,723,289
PMM0303,233,333,256,162,283,517,1099,734,604,138,574,192,18,17,6,418,210,363,255,561,7,5,12
pcrA,2166,2934,2162,1842,3067,5288,6887,4446,5122,1457,6133,2804,363,203,127,3146,2257,3763,2271,4705,81,139,96
cpeB,4426,3153,4550,1510,3289,7921,3245,3452,5793,794,2531,1535,121,63,47,7696,14890,6536,4150,7099,40,104,24
cpeS,5386,5871,9160,3032,8308,15869,6216,5429,6454,1766,7178,3690,692,277,75,15183,15088,7233,5463,7410,48,98,54
orf59,5536,5732,8164,3132,6972,11511,4749,4380,5716,1189,3526,1756,254,127,54,14288,15509,7261,5551,7281,31,65,37
PMM0308,2687,2619,2658,2206,1782,3961,2656,2517,2025,563,1696,700,90,61,39,4779,3856,3275,1908,4249,15,44,31
PMM0309,357,309,316,275,245,609,1213,915,820,261,952,393,31,37,5,664,443,770,406,1151,13,10,9
xylB,2199,2346,3742,2108,2068,6000,3610,2316,3646,837,1424,797,84,60,47,7745,9232,4001,2621,4944,47,68,40
metK,12181,10654,16769,8859,8987,23480,12588,9025,13916,3328,5167,2437,297,230,162,40365,44180,18328,13417,22049,148,222,136
rps1a,30327,28422,30234,26091,18975,49350,14833,12405,16829,4773,7781,2870,420,368,216,42904,51694,19558,13181,19566,149,302,154
nrdR,8097,10466,9207,6480,8117,13506,8966,7219,8411,2013,3824,1556,95,71,63,11996,12518,9219,6900,11783,83,128,50
psbT,25850,37438,32194,26546,35578,39816,13869,13126,18468,3784,5638,2650,164,109,88,36164,56538,23926,16896,28845,93,211,48
psbB,788475,926547,783981,610278,798254,973736,362361,328773,450533,83503,144068,65711,5247,3142,2987,938673,1355721,602254,434265,695558,3009,5501,2288
fdx,15362,21092,8364,12769,11270,8427,1711,1062,1653,396,617,471,49,29,29,3982,6552,1903,1213,2319,12,12,11
psbM,17277,19457,11711,11862,15314,15439,5180,5048,7501,1333,2674,1348,95,40,41,9679,18224,9340,5782,9550,28,62,24
prmC,14711,15901,11529,9794,13504,16667,7050,6175,9377,2017,4214,2216,191,93,65,10893,19339,10272,6056,10943,60,97,49
sua5,1370,1542,1429,1239,1322,2678,2301,1562,1624,578,2058,1193,194,70,36,2258,2031,2012,1283,2380,30,28,22
minE,713,1395,1064,724,1177,1289,11005,7111,8222,3002,4078,1961,23,20,22,1406,938,6755,5597,7180,56,85,56
minD,1741,4229,2346,1669,3896,3489,22007,19883,20576,5643,11343,4613,68,83,103,3197,1922,20724,13985,21355,179,239,116
minC,634,940,668,444,660,1077,2042,1143,1070,372,1009,485,56,33,17,947,721,1026,579,1369,15,15,16
PMM0323,910,1312,1340,927,853,1882,3590,2878,2254,649,1843,849,56,41,17,3072,2234,3135,1956,4267,21,35,28
ctpA,5255,6531,6305,4630,3332,6796,17027,12174,11100,3896,5412,2363,111,70,52,14271,12030,18286,13937,19974,118,144,87
petB,61983,71659,46275,34915,55793,50737,64872,64520,76235,15390,27927,11251,298,237,201,52992,67871,94880,67290,99602,392,812,317
petD,58085,67557,55252,35459,55496,53904,77610,67230,82862,16780,32322,13245,470,314,326,70452,77103,94493,66196,107515,470,863,388
invA,2099,2630,2857,2039,1424,3410,6316,3866,4448,1949,2424,1233,85,96,45,5229,4771,5072,3318,5501,68,65,64
fpg,2616,3205,4575,1471,3427,6919,2786,1907,3029,1130,1847,1107,170,235,110,9065,10745,3806,2586,4449,63,94,39
psaE,3060,3047,4176,1362,2818,4956,4362,1836,3037,1665,1091,820,61,79,30,7958,9381,4341,3425,4518,47,58,22
PMM0330,410,436,574,108,453,833,2329,1640,2071,451,751,425,17,9,8,921,1061,2221,1239,2887,15,25,20
PMM0331,1412,1627,1432,912,1386,2818,1316,1074,1042,243,851,353,42,47,38,2046,1891,1459,925,1884,17,35,23
rimI,1159,1722,1144,1131,1115,1739,1409,1210,1110,248,752,278,31,23,27,1715,1251,1055,731,1409,13,26,18
PMM0334,370,1268,1052,322,641,964,1338,736,514,228,520,377,24,47,38,1331,334,776,345,1483,8,41,21
PMM0335,2774,4159,2521,1755,2279,2613,2637,2484,1825,422,1215,440,43,31,9,3667,2711,3194,2431,3509,23,30,18
ptoX,5718,7207,5169,4493,6922,7634,39816,29657,35444,8581,13872,7577,94,79,147,10009,13141,41243,40910,40403,255,509,194
PMM0337,95,206,122,110,163,210,5162,3105,2476,928,1066,725,37,18,13,263,127,2457,1703,3680,24,37,16
PMM0338,4462,4544,4118,4013,3559,7667,7950,6028,7119,5197,22748,13706,645,646,365,6438,6993,6885,4125,8212,141,220,159
PMM0340,2116,2935,1223,1611,1605,1368,2050,1560,1250,286,787,384,26,23,23,1341,1195,2018,1503,2417,7,23,16
PMM0341,1098,1647,971,865,866,1292,2006,1713,1356,260,1011,348,36,41,23,1809,1164,1942,1445,2067,23,16,18
tatA_a,726,733,646,453,598,1211,3396,2654,3299,799,1509,706,25,22,11,1513,1695,3326,2374,4166,33,50,30
PMM0344,730,843,422,539,469,540,865,831,782,174,437,172,6,5,3,552,490,1058,535,1238,6,5,2
PMM0345,3561,3367,2039,2365,2163,3325,3930,3087,2139,575,1583,679,72,84,43,2247,1989,2458,1404,3371,28,42,23
PMM0347,6198,11754,4046,4912,4332,4937,4885,3873,3175,868,1751,751,82,75,89,11585,2778,3509,1917,7299,72,111,68
PMM0349,207,583,309,205,196,476,697,417,256,88,195,86,10,18,15,745,236,327,252,468,6,17,15
PMM0350,66,97,56,53,66,109,113,104,89,35,74,59,4,3,3,102,98,87,70,122,1,1,1
PMM0351,152,238,148,103,191,313,1116,1163,1420,203,779,266,8,6,5,401,286,946,373,1283,11,21,9
PMM0352,342,486,334,248,260,513,1314,1034,690,180,501,213,27,12,6,667,291,750,393,1152,13,25,9
PMM0353,1288,1606,852,771,861,1312,2324,1904,1034,318,870,297,38,29,12,1294,630,1307,813,1760,8,18,7
PMM0355,125,166,211,76,114,225,1242,760,988,327,375,216,11,9,1,427,508,1135,735,1338,11,9,10
pip,1704,2907,2035,2053,1948,1771,1832,1190,1415,388,792,426,20,10,22,2821,2346,1930,1337,2547,21,17,14
PMM0357,968,1157,792,590,674,1211,1029,882,723,159,668,303,39,22,18,1108,798,769,334,1169,15,22,4
thiD,1048,1122,1083,852,749,1554,1930,1432,1220,391,1243,653,74,47,37,1772,1395,1384,648,1877,28,29,16
PMM0360,676,948,647,498,510,880,1056,779,654,163,492,142,16,9,7,1520,844,989,661,1410,7,14,14
PMM0361,263,393,289,241,256,382,576,391,371,121,261,112,9,8,10,429,318,450,265,586,5,7,3
PMM0363,1244,1814,1138,1116,1222,1781,1759,1158,995,412,1195,753,66,73,26,1436,789,966,552,1360,17,29,18
PMM0364,3609,5807,2290,4026,3433,2773,16493,14172,14299,4207,6364,2565,89,72,25,3763,2647,14295,12428,16001,77,112,66
PMM0365,2337,4491,1152,2158,1823,1158,5079,3835,2679,849,1891,910,44,18,27,1399,933,3297,3443,4006,28,35,28
PMM0366,3714,5627,2065,3476,2631,2491,3052,2335,2844,715,1131,555,35,25,24,1999,1639,2370,1593,2883,25,37,17
PMM0367,5465,7001,7057,5291,4499,8767,17725,19542,15875,5209,9916,2367,69,42,42,13123,7967,16356,8234,19936,101,160,69
PMM0368,7322,8265,3790,3838,3645,6761,21597,19086,15545,10143,39114,37759,1577,1124,459,8727,6327,16652,13629,20931,235,347,234
nrtA,10226,10508,7049,6604,1855,10847,19263,4642,13211,2808,8156,3591,771,874,421,32581,12280,5870,2565,20625,171,250,159
cynB,3567,3169,2713,2033,897,4160,5594,2050,4478,944,3854,1491,310,333,155,8944,4176,2511,1211,6144,84,114,66
cynD,1490,1400,1120,932,566,1957,2255,1087,1547,465,2879,1188,244,193,77,2545,1658,1063,598,2274,31,49,35
cynS,3679,3563,2721,2467,992,4367,3331,1822,3209,816,2625,1157,144,105,45,5285,5983,2542,1384,4220,32,46,20
tatA_b,135,249,189,140,163,292,732,462,339,140,672,271,27,19,8,426,157,320,157,578,5,10,1
PMM0375,400,378,290,288,197,560,457,314,279,118,622,349,38,27,13,408,448,201,88,334,5,6,2
PMM0376,1254,2432,1378,1100,2259,2100,5258,5721,4811,1214,3172,1182,49,40,28,2034,1775,5944,4784,6547,49,70,36
PMM0377,1478,2699,1546,1630,2419,2251,8846,10212,7847,2457,5299,1708,32,32,28,3355,2731,9784,8606,10633,58,66,46
PMM0378,2184,4869,2866,3732,4276,2481,12531,11626,10138,3528,5337,1927,46,47,32,5330,4744,13232,11043,13891,94,84,70
PMM0379,1952,2653,1335,1515,1926,1827,3332,2029,1642,492,1027,477,19,21,11,1537,1231,3253,2881,3358,19,16,31
PMM0380,1740,2205,719,1173,1246,921,910,573,595,171,655,271,8,12,8,588,664,733,609,920,9,8,8
PMM0381,268,241,1085,314,212,1074,3817,2923,2817,576,1604,498,3,8,5,1181,1264,2604,2057,2275,22,29,18
PMM0382,1211,1088,4957,1403,1048,5232,13529,12730,12431,2124,6759,1676,16,36,24,5599,6240,11984,9699,9373,79,143,70
PMM0383,9580,6620,40740,12098,9914,44344,105906,109137,104937,17853,54547,12838,154,248,222,49035,53156,116517,112075,79804,796,1366,719
PMM0384,852,1078,1045,713,878,1697,4600,3698,4141,943,2212,808,50,42,40,1642,1532,3614,2258,3532,48,73,39
PMM0386,195,252,207,159,200,338,1514,825,1013,269,649,341,20,23,9,604,317,1088,672,1257,14,17,11
aroQ,2103,2365,1507,1430,1589,2279,6202,5430,5725,1246,2852,1189,80,58,43,2956,2965,6157,4562,7072,55,76,38
miaE,982,1282,1292,728,902,1877,4984,4565,5111,996,2151,786,32,35,29,2272,2492,4457,2745,4869,39,63,44
cobI,548,754,543,372,467,784,2231,1850,1583,387,943,320,24,17,22,942,743,1398,866,1743,11,38,25
PMM0390,482,550,361,356,387,592,1415,1118,875,238,667,260,26,26,16,600,365,686,427,927,13,14,3
der,709,834,776,594,587,1160,2794,1990,2388,768,1384,672,31,43,29,1236,1227,2075,1276,2426,40,47,39
cbiQ,263,331,295,190,223,520,641,615,620,142,502,218,28,18,10,373,271,430,217,588,5,11,7
pipX,374,395,436,260,390,832,2790,2577,3216,826,1449,640,15,20,5,934,767,3104,1575,3308,17,37,15
PMM0394,475,536,562,323,516,1148,2979,2550,3148,689,1880,754,35,30,21,1177,904,2547,1273,2946,21,46,30
sepF,6811,7246,13683,5099,7500,19146,66753,62116,78358,20858,30218,12184,201,174,164,25508,32260,91946,69565,85369,597,763,392
