mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
299.08121_2.506	0	511.38	773.72	10138.79	1219.94	18745.226666666666	4151.06	29354.49	0	0	44.96	9427.41	119.60333333333334	8658.61	51.14	746.76	1994.63	11100.59	23271.73	47.16	1044	1745.84	4235	1344.02	26894.546666666665	6200.76	18776.65	881.54	95.96	1434.04	5872.74	29049.086666666666	10418.96	0	430.78	2109.34	13233.82962962963	25451.44	395.56	1513.98	1956.54	2158.32	0	23499.41	4698.06	15847.04	2088.4	163.98	2562.56	1595.73	20974.63	0	826.16	3010	2279.16	5466.1	12873.76
305.98828_1.168	767.3	2658.74	1946.56	2406.1	3211.48	1623.99	2839.4	3687.42	968.9	795.62	1211.46	1887.51	1279.0233333333333	1130.45	915.18	1246.24	154.59	0	0	1200.04	843.34	2286.84	2002.01	2176.6	3027.1766666666667	4644.96	4626.89	1621.78	943.96	1730.82	2540.34	1069.5966666666666	0	0	758.54	198.38	26.71851851851852	44.6	2490.82	2761.14	3106.86	3072.93	1749.6	4930.06	6574.96	6823.27	1656.38	1949.9	2196.28	2733.12	2538.11	0	2219.56	1786.58	262.4	0	31.23
306.08127_1.17	8567.86	14070.66	12926.4	17741.09	10038.76	35501.583333333336	22237.56	37986.3	8915.16	5550.82	7857.08	15683.05	33305.68	39463.38	6579.06	13400.92	8778.32	39938.89666666667	31816.52	7241.66	14065.52	18229.88	11150.84	15137.98	36365.66333333333	28497.72	40515.14	8435.1	7227.46	15182.66	16307.33	43189.933333333334	47278.5	0	10466.02	7055.12	37509.57407407407	30033.02	9353.48	20766.96	33678.72	16150.11	8287.1	52795.94	34457.74	43868.49	14270	9625.04	27205.88	16767.08	53738.92	22025.9	13322.54	23892.76	22983.84	8984.64	15241.68
311.06635_1.169	517.6067374514525	262.398458090179	739.9665991412978	341.281985956054	74.40512377439039	6344.455499964937	1484.4854162309534	1778.5117450508662	430.7714918874767	382.7191342780558	287.9070896335789	711.5240394353723	6674.073077653723	49.05043902029467	493.15674657134497	612.7039375696372	800.8193400255691	30203.794522338732	44386.607072970255	577.1568098187332	1975.59929254106	1627.5905880865416	672.3070494965334	2140.3546016780115	1265.6831745366212	279.70546460806304	5319.486330954342	288.0742704008504	581.776851093019	773.3750678581752	779.9695739480603	18259.777837566915	20510.557228229554	0	1117.5283788778643	1685.1198373651541	18704.43069442297	4344.634822781551	549.3937210494521	512.0646380910201	972.0840494585832	2285.1395210763567	1048.039021212839	5313.427428009075	757.1484124660522	3366.2449385451946	557.9065383829027	839.0391692321691	296.37072759774355	2220.4137613269513	12495.714824207105	877.6736712572829	1084.7302955323228	1364.7815570332127	5876.086424965984	20194.73268288155	21219.776687265574
314.09222_1.146	1670.94	2065.64	2785.1	3975.3	102.28	1110.6166666666666	5728.42	2388.07	1782.18	1952.54	1940.18	3110.98	808.2333333333333	0	2636.56	1474.5	638.37	0	44.77	2631.02	1295.5	2352.06	3838.38	4396.96	246.76666666666668	1894.94	3322.58	161.78	2420.24	2221.28	1538.14	301.1	509.96	330.66	1226.2	439.59	0	392	2503.68	1950.08	3228.94	3511.07	3959.72	2996.24	1709.18	5539.09	1424.28	2327.2	2301.84	3454.1	1424.96	0	2669.38	1789.86	703.16	323.56	590.98
314.09229_1.267	2237.7	1993.54	2945.68	4592	306.66	1032.0933333333332	5731.78	2497.13	1735.3	2332	2033.18	3539.82	626.2166666666667	0	3001.62	1623.36	588.46	17.88	120.2	3429.1	1466.66	2882.02	3606.1	4886.4	266.8833333333333	1537.56	3635.52	52.54	2427.78	2778.08	1604.9	282.27666666666664	447.75	0	1614.66	577.81	0	618.39	2674.54	2295.76	3448.9	3306.17	3806.54	3027.44	1495.92	4891.06	1638.06	2429.36	2805.78	3707.09	977.27	327.42	2667.1	2296.58	607.36	358.88	724.91
314.09253_2.297	7057.6009094262345	11011.033918754374	9751.804918604576	11483.661737140133	21935.426529058288	507.56301160960305	11614.415920870826	13942.565402037073	5845.347108419527	6482.504611310804	4979.624151308199	20410.420249634895	2631.840155935927	4289.501106871563	5830.547058719825	4629.2509281077455	1632.1533426619696	60.93095672542747	2389.340701490984	7045.170923483715	5935.923831871427	7590.232004881548	10713.777476012656	11236.024725146732	3409.524775818348	15553.699222102314	9448.782330114429	11114.478765251608	7478.6584633444345	6081.360099110066	13532.491952996632	156.01795525620992	5279.759749404159	1150.8236404849258	5409.864764780749	2147.444658787119	468.5423910312672	6206.368770156052	12278.873722530177	21346.05082154044	10913.386250301379	8585.152034945426	20102.025733230952	9928.23697337054	13609.744180219413	22074.1592177564	10339.069192069222	10703.471996400207	19957.89457412691	19540.44054569012	5788.322781742339	1346.6624325487924	13084.749818484806	6822.543378131385	3766.437725505696	2866.9335431612317	3524.630281430681
315.07657_2.511	46.67861779270356	653.5130987518501	62.66260478061051	2306.971721747825	1574.0142222135983	1942.3144860750922	1951.4957151333376	5873.750778625317	239.1889246717148	29.20119395239379	0	4648.862591117297	190.3745711301903	7323.56465929345	38.262355694766605	396.1205608698945	770.9517797542192	3141.8960588211035	6543.38796298124	45.198304870155155	165.6747182388104	825.3669155209973	1216.1164761727941	115.07797515315171	3501.6122778548083	2149.821400237901	2993.9456412457653	679.9987185223072	38.4306959002976	443.20661642251486	2590.787017856378	2599.145334172632	5363.216717975326	0	61.904386107404214	1024.055520678795	2369.183763477995	11946.748107848038	77.71305166138247	728.2577557370481	613.4392087530283	623.3785150947083	152.2363751585627	3921.548119600644	2510.308320818444	4766.162376998432	889.6726189252837	264.00674011074284	1645.4440278198308	623.2373438731433	3916.2969382681636	55.35509385465954	243.6262499172913	1157.7052730472067	849.6438436437768	2405.686986352208	4946.387289083788
317.19623_8.702	6892.297395800272	3708.1969180738542	3748.8609094403714	2880.1930319612234	303.02818793363497	805.4535473691502	6610.481713613477	2155.3032321862984	3242.2806208013785	3310.035667613997	7284.147521008867	1068.658927617554	314.0492607826793	63.08072934474314	2891.328125263167	4632.134468993897	2228.930112974383	334.5921640103322	2053.698535332785	5763.832393341447	5182.349499741306	2570.408107798205	1788.6647478012549	1914.686344825645	200.76959823769528	2417.422153050859	2324.922945044711	261.68546009556945	4380.405629807832	6631.169682714133	881.79520542846	232.34663215597098	880.2522730734798	3727.8996484952595	2451.277514186503	2518.5726758016435	973.8099203367224	5526.847815665303	2722.143471673991	14195.779509876458	2689.004209675936	1266.3040106309402	2659.075959606106	747.0202689918084	762.7434889743089	1238.9021364490745	2508.1630125870865	1727.6006255120737	4087.3037537954197	618.3193470961049	2247.493419228493	5126.002723582219	7213.311569428407	6548.033698203325	1481.8206459271023	1845.3585400753343	1067.6590356608979
318.02054_1.041	49.35148793881905	542.8268816234425	477.1458789393847	422.74684691691897	4110.018035033015	18.437972037492997	1129.34302442354	1022.1480042520052	445.6492665077674	493.6927131401961	0	1333.8670011551264	195.48382000472196	7319.675240361181	66.19492941133174	0	780.8849089014354	2388.4034928933766	2426.4472964541374	167.63384416104756	291.3863401218262	626.3324261480956	665.4254916707545	1337.7945120961383	81.56408885851462	2349.7981821843673	1097.9527122921777	1069.503478994563	281.6926293084895	144.7725938791622	756.2706927705439	256.4487940898426	6412.617203063909	0	266.84685434752464	1245.8097042612148	1437.3217618254425	6875.216869080831	540.0069810317934	1118.289798543218	809.6458816101814	752.0633596478598	2780.4816885212376	638.5140476491889	2102.20870733386	1989.038621589982	675.9442775817841	329.8225304426716	1570.7214299094876	1915.1407172234713	1226.3407192489838	0	815.4895691487417	1137.174104560337	2236.604364486002	3510.9882743970975	2159.986524842863
127.05042_1.446	6208.477263948543	11241.452176067294	7272.776287965199	22465.11169491208	5176.4916979463715	28369.662559453616	44276.91212451171	35745.04744067926	3573.2878988665057	7378.995307432495	10574.698924047454	17963.631492834116	115114.8285980117	59532.824761604366	6249.162195297053	27985.82065453968	24518.696051020586	97755.1200465203	144755.64020152087	8694.763186406126	15018.544871563756	8108.323728349061	9891.035432631528	6637.355015179303	28018.422486913216	22840.737372630778	56197.92305704601	4075.4703357089284	8823.289928131118	25506.696061097664	23981.67347449664	166053.99849752014	72454.25507168802	6595.072212868489	24931.978806261388	19000.97045680892	93615.43745891358	586430.08094379	8439.173759415085	12050.069417659382	27286.824485401143	9678.81716204364	5147.450627028569	38511.56239515278	24568.164630936208	22706.314119032304	9825.619853752161	6558.431837654195	17502.534380816734	15303.064726573682	179790.56409110417	30107.923759898153	44103.09447253959	119234.13375192197	29935.109792681942	61557.26173401784	32171.141486872086
320.01852_1.042	48.64301633382458	301.6586431494312	619.1259599204809	483.7030928675943	3668.5806186048385	31.50103709726663	1327.3377658293207	847.0111297572244	467.7891901907154	96.10722624991143	0	1095.5295567300275	126.58003812887745	7390.8815254288675	0	0	695.6787766896169	2522.0220727384467	2283.3772268416615	377.35397875856745	182.91961134669006	542.1570401527005	668.9771072192009	839.1024049272814	83.84747096316288	2227.5365086247457	1183.1010066574665	1274.3585006893613	418.0613241025824	281.68899664991676	594.2535799362789	299.3458502355625	6782.647750917398	0	178.64161268868511	1240.981474802174	1488.1411384669848	6408.96912761872	525.1625188042788	1203.8828652936988	1031.2795615513094	663.0489526617654	2813.0121441499978	709.139691453949	2456.241920480096	2529.6808304642873	701.6161445837139	369.41356662194977	1241.5380931693267	1916.3216620372932	1189.251874278539	0	725.0015370348415	834.6601688866172	2110.262878805384	2999.71112481931	2106.754756859681
127.0505_1.721	1167.04	1166.46	389.96	1196.18	403.52	1794.0733333333333	918.7	399.53	483.24	1909.3	821.54	1189.66	2806.3133333333335	284.97	678.54	636.82	1801.32	3196.8366666666666	4128.63	214.34	3927.98	563.16	1246.69	823.6	268.16	264.56	438.36	755.64	1335.58	1294.18	1059.14	8333.066666666668	2536.79	401.34	2233.24	648.86	2227.0444444444443	2970.79	764.3	2068.62	407.46	863.28	2856.54	1232.9	455.36	2451.23	439.94	1401.96	1664.62	1158.6	1299.34	238.45	328.26	610.76	1612.06	1658.76	4533.82
