mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
243.01785_12.043	5392.084525403395	9560.805446724566	12119.642745163334	4245.249436004613	14178.889479384297	21160.894957044227	25557.425643368693	28675.743497476775	4592.953115842556	7648.920120233405	819.6385379907124	23904.71832600537	32534.65542822723	80099.369474455	2218.0245787673384	3230.002514052957	1520.6699072844783	32997.75333754407	41298.41757426117	3785.276966680529	1958.114763160805	12189.113528175	23617.82560204097	4470.325213416918	14489.624387842901	30979.192254780828	76640.66677480907	5319.137081551421	7781.026057503661	440.9671283286092	10004.702235181176	22538.97318741808	95524.12396078909	380.6092592935303	7476.460697826874	4278.419676138519	34317.19733763351	131526.86272491544	2498.97202517189	13081.518729713182	9976.760622383175	27216.135418176196	19301.338264436352	24693.054179501916	26660.24021542141	75133.0084597249	690.9309219955757	5473.92659857099	20210.823409014927	30956.670956911734	47257.24440767239	401167.5138536243	13079.757829219434	5065.580247774495	43910.45427540677	63849.91638363172	67209.79116080808
243.06216_6.15	45801.08	69108	60355.96	158713.14	79854.28	283375.41333333333	132225.22	332442.22	43034.84	26853.1	49211.8	201352.92	400222.85333333333	277198.08	30980.48	87974.56	65036.92	335008.58666666667	215474.08	51157.48	103811.84	71191.08	96370.83	84019.04	438810.1066666667	175361.28	328422.98	79695.88	37182.1	126872	147550.88	541022.88	331736.84	31062.42	75349.22	47245.92	235215.05185185187	244789.64	66628.9	123620.54	147948.32	112175.26	36993.88	331828.2	247156.92	265230.64	125080.64	83913.74	130228.5	110650.15	374787.72	179123.9	96364.14	144661.52	105882.4	86869.97	111207.91
243.15982_2.743	10543.909968640794	8763.797605941261	9577.651216645374	15004.742689500898	485.5104653566863	4075.2455696029665	18865.048542924957	4534.802925729886	8177.298123030596	8081.535270311903	27765.910769093764	11014.492621497266	4545.76552266871	0	17864.333759218673	10708.39044664553	7418.413830572591	3208.446647017148	4295.921071286591	5670.631675638041	17364.83012598018	6641.601528599872	13031.260808214189	21273.236124313422	1973.2735258272473	12590.086880765233	5227.675546463229	964.6132043849985	6449.479303224007	15718.600953157806	5085.662403511968	6005.686242212041	6409.915076389401	9050.556289782842	9456.296129659064	4949.210136793591	1536.98098683831	10688.96531770971	13064.030469947986	21857.42828788775	16616.20226098902	9245.271388503326	18367.868298012734	3627.839912634065	2211.378770745832	9466.520220858716	12828.621121316115	8309.988882705406	23850.58149424254	9970.2440100086	6296.923774757555	5285.306762589626	7149.108340744079	8413.697909185561	10937.776136652901	4629.095435682339	3244.030490061508
243.17145_2.044	16784.7	9979.66	28166.84	169.99	3832.9	5594.49	23803.58	7741.26	35282.44	4146.12	263.6	6228.58	6202.5233333333335	9753.51	4109.28	55225.46	5819.05	7395.04	8767.3	6016.94	41188.14	9207.4	232.13	45269.74	6133.963333333333	11765.96	6549.43	3064.24	2394.26	19699.28	6964.44	15236.113333333333	8798.54	10722.6	13401.24	4206.48	19084.881481481483	6107.41	509.5	30093.16	8431.28	2481.21	15118.9	5557.36	8227.2	5771.28	268.26	27227.64	359.44	4545.19	12852.82	1464908.64	6786.66	7890.08	12251.67	6701.76	6469.88
245.0338_10.642	345.7508574961487	33522.072027078306	427.98794518067206	411.8841545439485	330.13073540271995	822.7659594459336	66902.60179271126	3350.512682064761	19211.51328366499	291.8150917445076	14639.61761488796	1949.101780552603	1015.7697913533133	1568.8113344854005	241.94451410372886	54700.40008404942	165587.7250057523	1693.2963563258616	14180.707966846156	22368.4219124447	440.338736653922	400.05629514051674	2049.426872005429	298.2074125874398	1606.5449131686955	735.5113458214078	2654.664953756479	16053.300053350054	28019.450300430548	251.95921712905903	642.6686118152879	1998.3397547989025	10604.33658572306	18205.98557586759	298.86670835068577	208.73391479265584	20809.64122927816	15855.825701259279	1162.5688767724503	265.4780649191129	755.261041711695	1246.3778926482141	516.0512731528748	1799.3196353478615	275.1604386145956	10378.55758671148	26597.42406029266	20019.523708698278	242.77829320079437	2416.661412809551	5774.920102671834	344303.550210106	27874.55704868758	423.64605757480456	2531.4235381342132	2602.5279548721537	192.32306717714363
245.04303_9.848	15174.410191359355	28090.034041499624	31677.42548700597	57190.50735386235	36535.162786473295	142557.56912496348	76164.2347124915	57461.83244128074	17067.8750630578	19270.74252635263	19832.1441931113	96439.92832094329	271588.69865587633	304778.32079961034	22251.636403369463	48312.673502101	174142.61902794655	828645.0533732285	181995.62654164137	20093.618754719653	49447.63937000495	42510.40669577164	77767.0834095048	113287.82242102045	132515.69516743996	148271.16902383833	162552.2462176442	17621.98039919405	24077.928096422376	61720.81125124177	106370.42787501779	462058.8936849577	547492.6153992757	22760.952948577222	75306.00033487324	185483.4090059451	239960.62798983522	259847.69362956754	25596.14315639072	66228.84129512114	51911.31372801497	60442.33730853349	52500.069390595236	60254.08350173831	62570.26329492121	69507.91468476453	28843.27679637575	19141.119389085095	61736.53400274597	65700.5240051784	135535.66050134477	244088.8290485434	25503.09795788755	106902.74876855242	333651.4716427881	167864.13025993117	55244.832558393085
245.10295_2.614	0	2178.96	480.8	1645.6	378.02	1332.61	326.94	1995.72	301.8	319.32	1480.7	2486.28	3041.21	3438.27	1949.46	717.8	4220.69	1597.2966666666666	828.06	310.22	2829.34	2023.82	1817.96	6130.88	5732.6033333333335	4297.28	1702.17	1931.88	1436.06	1091.16	2962.5	4377.783333333334	3322.82	884	1661.38	3373.75	2281.777777777778	1124.73	756.94	2417.8	2429.44	1224.59	4799.38	1794.89	6762.38	2617.27	4162.22	1360.6	2484.58	2330.72	3710.25	17255.37	263.18	2154.34	5203.73	2075.1	1010.01
245.11432_12.11	325.35496966447704	827.584676655135	1214.5831352939153	9099.604010075544	3043.796998913309	13420.410788484307	2914.3434654896423	12030.244771471416	355.11255612525156	286.46746592500034	246.1101562019519	10045.03206405878	15884.750852072215	37931.98189727493	843.5819863497633	612.4122300164051	10873.58315770378	8701.033601659243	12908.349989111435	266.5397974641208	2215.144361619596	2456.0950610552695	13417.94663811564	2752.4785747766623	16526.466698971475	4437.43618715597	13274.556173077113	1009.4348944494209	285.13906661496674	4865.841880685544	16176.29119543593	31303.011693196302	26491.73200391966	277.00024707893095	3327.5015223415844	20045.340132143956	13028.109201393101	8751.024822488282	7135.58057467565	12981.712673923335	14537.00641585904	16957.32315199891	4881.886685519343	27084.4209693947	12381.88849968587	34582.15033017988	11307.13673136122	5075.023274929995	10015.400891310424	18652.341771409323	35274.205165340136	6433.218720959034	5767.888028616413	16403.79835242762	37185.237495326386	18650.631766942493	10048.817600101902
245.97084_11.256	17146.957948163013	62521.26664013914	57739.18599976941	24747.895618414386	48361.977275702004	11599.310092638285	66112.4421125865	50561.07396715541	20749.561239410614	24659.632696092278	12429.054334571618	26651.628443315447	16252.209664126569	21183.06224829729	23598.349939835673	15954.07314004191	17026.20215656324	4751.10089342631	9045.849795035749	28435.38176972377	24572.273416319833	46373.79969324688	29953.624531431527	52548.46354035458	11190.583655410843	74673.05945122955	46299.88736910722	25760.45124282676	29923.469102407576	22107.128299275162	55492.54570708946	7344.2215523781615	14595.079841837136	22390.346967877	9938.81496538718	17231.24947304665	17096.0513126754	14794.49524158083	37418.0414316321	47094.67651687514	44083.66519247025	44644.49244075027	44105.17570537774	59944.559591491634	76540.25491378704	46305.38593620984	25597.594059255018	53995.60330088521	69262.21456598907	16737.39389964151	29983.350476543896	443.34491375307783	62645.92383018242	25608.345929904153	20562.436636683793	9600.256016646556	10264.04102343978
247.11205_2.393	4107.74	6787.04	4220.78	7677.41	2201.84	6369.826666666667	5445.3	8430.2	4217.88	1975.88	3686.18	9730.42	14057.976666666667	504.8	3066.24	6573.36	14039.52	7720.21	3262.72	3123.3	8368.22	3619.74	7751.11	3726.56	1264.5233333333333	3740.18	8930.32	338.08	3340	4852.18	12474.07	16637.053333333333	18518.37	3679.72	8485.34	13510.28	9412.633333333333	3050.79	5137.76	7314.58	8470.76	4582.53	7998.7	9949.35	1906.38	10008.4	14284.24	5701.66	5933.12	6264.02	11915.2	163348.83	5014.92	9157.18	13617.58	5348.9	2927.33
250.09267_11.304	5175.030151531302	20451.91707433484	12920.930131566587	10983.180570075108	14248.574242983561	30780.99225005344	27641.42906947226	42126.98504038019	6180.764267214037	2579.4711897705015	494.95675937761376	11743.067278979455	21525.017418329255	3678.8781160570816	4872.844619901194	3329.958827481366	201.3951664536924	52.47916959477433	169.7808744310695	6521.017426745521	5981.562265580467	12680.92379462452	16461.24149139154	19675.818177790286	30503.09141765548	23948.5460134433	52210.150030375196	5437.509056138969	4071.172161355261	3216.7214759687668	17683.415400999136	12012.139893538699	560.3753411991148	3765.648272104089	1007.586248797006	570.5401199036635	51.3586719440628	137.76977262837582	12570.589506546185	21158.2757521283	14989.786862482526	23893.17195123259	25510.102103945206	35704.3272506456	37184.03334027921	40839.09653018483	5893.682982005342	7889.868485302183	18213.971098818696	25999.532273321358	17740.18771124502	260.4069456064197	16165.485950373364	4137.765245233346	251.6702579673608	181.66894933010983	111.57167813741067
